COD_USU,SEX_USU,FEC_NAC_USU,EDAD_USU,GRU_ET,PAI_USU,TIE_DIS,LEN_MAT,AUT_IDE_ET,NOM_CEN,FEC_ING,PER_ING,TIP_SEG_SAL,EST_ACT,FEC_EGR,MOT_EGR
CDFSJT00094,2,2023-09-05,2,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2025-01-30,1,2,1,NO APLICA,11
288,2,2018-01-04,7,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2021-01-25,1,2,1,NO APLICA,11
310,2,2014-04-08,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2021-05-25,3,1,1,NO APLICA,11
265,1,2011-11-05,14,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2019-06-25,1,1,1,NO APLICA,11
326,1,2014-08-22,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-01-28,1,1,1,NO APLICA,11
329,2,2016-10-30,9,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-01-28,1,1,1,NO APLICA,11
330,1,2009-10-31,16,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-01-28,3,1,1,NO APLICA,11
333,2,2013-12-30,12,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-01-28,1,1,1,NO APLICA,11
356,2,2013-12-06,12,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-02-25,3,1,1,NO APLICA,11
131,2,2013-03-22,12,4,COLOMBIA,3,10,5,CEDIF CAJAMARCA,2017-05-02,1,2,1,NO APLICA,11
379,2,2013-02-06,12,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-03-25,1,1,1,NO APLICA,11
398,2,2015-12-06,10,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-07-25,1,1,1,NO APLICA,11
415,2,2014-10-26,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-08-26,1,1,1,NO APLICA,11
297,1,2018-04-20,7,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2022-02-25,1,1,1,NO APLICA,11
446,1,2017-10-28,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-03-27,1,1,1,NO APLICA,11
449,2,2015-04-07,10,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-03-27,1,1,1,NO APLICA,11
453,1,2014-05-01,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-03-27,1,1,1,NO APLICA,11
454,1,2017-01-04,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-03-27,1,1,1,NO APLICA,11
457,1,2018-09-12,7,3,PERÚ,2,10,7,CEDIF CAJAMARCA,2023-04-24,1,1,1,NO APLICA,11
459,2,2014-11-25,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-04-24,1,1,1,NO APLICA,11
461,1,2016-07-02,9,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-04-24,1,1,1,NO APLICA,11
463,2,2010-07-26,15,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-04-24,1,1,1,NO APLICA,11
472,1,2014-09-17,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-06-26,1,1,1,NO APLICA,11
479,2,2017-03-25,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-06-26,1,1,1,NO APLICA,11
482,2,2016-04-24,9,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-07-27,1,2,1,NO APLICA,11
484,1,2013-08-04,12,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-07-27,1,1,1,NO APLICA,11
488,1,2008-07-17,17,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-08-25,3,1,1,NO APLICA,11
495,1,2019-10-03,6,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-10-27,1,1,1,NO APLICA,11
496,2,2014-03-10,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-10-27,1,2,1,NO APLICA,11
505,1,2014-02-01,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-11-27,3,1,1,NO APLICA,11
506,2,2016-09-15,9,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-11-27,1,1,1,NO APLICA,11
509,2,2018-12-14,7,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-11-27,1,1,1,NO APLICA,11
513,2,2012-05-05,13,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-01-26,1,1,1,NO APLICA,11
530,2,2014-01-20,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-01-26,1,1,1,NO APLICA,11
533,2,2018-12-16,7,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-01-26,1,1,1,NO APLICA,11
536,2,2019-02-27,6,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-03-12,1,1,1,NO APLICA,11
537,2,2015-02-03,10,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-03-15,1,1,1,NO APLICA,11
539,2,2012-07-24,13,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-03-12,1,1,1,NO APLICA,11
544,1,2017-07-27,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-03-18,1,1,1,NO APLICA,11
545,1,2011-06-06,14,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-05-12,3,1,1,NO APLICA,11
547,1,2020-06-07,5,2,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-05-08,1,1,1,NO APLICA,11
487,2,2014-07-26,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2023-07-27,1,1,1,NO APLICA,11
548,1,2014-08-16,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-05-10,1,1,1,NO APLICA,11
551,1,2015-01-18,10,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-05-06,1,1,1,NO APLICA,11
554,2,2021-01-27,4,2,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-06-05,1,1,1,NO APLICA,11
555,1,2020-07-13,5,2,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-06-06,1,1,1,NO APLICA,11
557,1,2015-08-15,10,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-06-04,1,1,1,NO APLICA,11
558,1,2018-02-16,7,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-06-05,1,1,1,NO APLICA,11
559,1,2021-05-06,4,2,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-06-03,1,1,1,NO APLICA,11
560,2,2017-09-23,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-06-11,1,1,1,NO APLICA,11
565,1,2019-03-16,6,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-07-09,1,2,1,NO APLICA,11
570,1,2021-04-11,4,2,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-07-09,1,1,1,NO APLICA,11
571,1,2014-07-07,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-08-13,1,1,1,NO APLICA,11
575,1,2021-07-22,4,2,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-08-07,1,1,1,NO APLICA,11
580,1,2008-12-14,17,4,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-08-15,3,1,1,NO APLICA,11
591,1,2014-06-26,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-10-04,1,1,1,NO APLICA,11
592,2,2016-01-09,9,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-09-16,1,1,1,NO APLICA,11
593,1,2016-10-13,9,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-09-24,1,1,1,NO APLICA,11
