COD_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;LEN_MAT;AUT_IDE_ET;NOM_CEN;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;MOT_EGR
CDFSJT00027;2;2019-06-16;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-18;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00028;2;2021-10-03;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-02-20;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00028;1;2014-06-04;10;3;CHILE;3;10;7;CEDIF SAN JUDAS TADEO;2023-02-20;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00029;1;2022-09-05;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-17;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00030;2;2022-04-15;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00030;2;2016-02-05;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-05;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00031;1;2022-11-05;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-05-06;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00032;1;2022-11-15;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-04-22;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00033;1;2022-11-20;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-05-06;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00034;2;2021-03-23;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-09;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00034;2;2011-10-21;13;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-09;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00035;2;2021-06-23;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-05;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00036;2;2022-01-07;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00037;1;2022-10-19;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-12;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00038;2;2023-02-26;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-18;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00039;2;2023-01-05;2;2;ESPAÑA;3;10;7;CEDIF SAN JUDAS TADEO;2024-10-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00040;1;2022-02-18;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-20;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00040;1;2022-02-18;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-20;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00041;2;2022-04-27;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-08-10;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00042;2;2022-09-30;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-16;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00043;1;2021-01-19;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-09;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00044;1;2022-06-18;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-23;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00044;2;2020-02-23;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00045;1;2016-08-09;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-02;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00045;1;2023-11-01;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-02;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00046;1;2020-09-30;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-15;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00047;2;2021-01-05;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-12;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00048;2;2021-09-14;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-05-03;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00049;1;2020-05-17;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-02-07;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00050;2;2022-04-22;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-09;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00050;1;2019-04-21;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-09;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00050;2;2016-11-01;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-09;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00051;2;2022-11-09;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-06-03;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00052;2;2021-08-24;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-09;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00053;2;2021-09-10;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-06-14;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00054;1;2021-05-08;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-22;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00054;1;2011-11-26;13;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-22;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00055;1;2022-02-22;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-11;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00056;2;2020-08-19;4;2;VENEZUELA;3;10;7;CEDIF SAN JUDAS TADEO;2024-09-04;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00056;2;2019-01-25;6;3;VENEZUELA;3;10;7;CEDIF SAN JUDAS TADEO;2024-09-04;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00056;2;2019-01-25;6;3;VENEZUELA;3;10;7;CEDIF SAN JUDAS TADEO;2024-09-04;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00057;1;2023-11-02;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-06;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00057;2;2017-05-21;7;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-06;1;SIS;1;NO APLICA;NO APLICA
